taxa	Length
g__Bacillus_E	2910400.0
s__Bacillus_E coagulans	2910400.0
f__Bacillaceae_A	4408593.181818182
g__Bacillus_AC	3790105.0
s__Bacillus_AC sp900199695	3790105.0
g__Bacillus_BD	4863531.0
s__Bacillus_BD tuaregi	4863531.0
g__Bacillus_BE	4216923.0
s__Bacillus_BE massilionigeriensis	4216923.0
g__Bacillus_V	4967913.0
s__Bacillus_V massiliosenegalensis	4967913.0
g__Bacillus_W	4536256.5
s__Bacillus_W jeddahensis	4762944.0
s__Bacillus_W rubiinfantis	4309569.0
g__Bacillus_D	4702581.0
s__Bacillus_D sp000821085	4702581.0
g__Bacillus_X	5860430.0
s__Bacillus_X simplex	5860430.0
g__Bacillus_AD	4288154.0
s__Bacillus_AD massilioanorexius	4588940.0
s__Bacillus_AD testis	3987368.0
g__FJAT-27916	2444221.0
s__FJAT-27916 sp001183965	2444221.0
f__Bacillaceae	4223312.6
g__Bacillus	4223312.6
s__Bacillus subtilis	4055810.0
s__Bacillus velezensis	3697845.0
s__Bacillus paralicheniformis	4371606.0
s__Bacillus licheniformis	4208157.0
s__Bacillus sonorensis	4783145.0
f__Bacillaceae_L	4657724.0
g__Bacillus_Q	4657724.0
s__Bacillus_Q timonensis	4657724.0
f__Caldibacillaceae	4111990.0
g__Bacillus_J	4111990.0
s__Bacillus_J andreraoultii	4111990.0
f__Bacillaceae_G	5441639.25
g__Bacillus_A	5441639.25
s__Bacillus_A wiedmannii	5414722.0
s__Bacillus_A luti	5512240.0
s__Bacillus_A thuringiensis_S	5736823.0
s__Bacillus_A paranthracis	5102772.0
f__Bacillaceae_D	4217920.0
g__Bacillus_K	4217920.0
s__Bacillus_K alcalophilus	4217920.0
f__Massilibacteriaceae	2849407.0
g__Massilibacterium	2849407.0
s__Massilibacterium senegalense	2849407.0
f__Amphibacillaceae	4189959.142857143
g__Oceanobacillus	4182220.0
s__Oceanobacillus jeddahense	5388101.0
s__Oceanobacillus massiliensis	3593561.0
s__Oceanobacillus caeni	3564998.0
g__Virgibacillus	4014176.0
s__Virgibacillus massiliensis	4353177.0
s__Virgibacillus picturae	3675175.0
g__Gracilibacillus	4377351.0
s__Gracilibacillus massiliensis	4207226.0
s__Gracilibacillus phocaeensis	4547476.0
f__Halobacillaceae	4066265.0
g__Thalassobacillus	4066265.0
s__Thalassobacillus sp001368835	4066265.0
f__Sporolactobacillaceae	2947302.0
g__Sporolactobacillus	2947302.0
s__Sporolactobacillus sp900543345	2947302.0
o__Rubeoparvulales	2843796.0
f__Rubeoparvulaceae	2843796.0
g__Rubeoparvulum	2843796.0
s__Rubeoparvulum massiliense	2843796.0
o__Brevibacillales	4952787.0
f__Brevibacillaceae	4952787.0
g__Brevibacillus_C	4952787.0
s__Brevibacillus_C massiliensis	4952787.0
o__Aneurinibacillales	5313859.0
f__Aneurinibacillaceae	5313859.0
g__Aneurinibacillus	5313859.0
s__Aneurinibacillus aneurinilyticus	5313859.0
o__Paenibacillales	6016227.85
f__Paenibacillaceae	6016227.85
g__Paenibacillus	6517028.0
s__Paenibacillus ihuae	6725359.0
s__Paenibacillus odorifer	6802552.0
s__Paenibacillus lautus_A	6950059.0
s__Paenibacillus lactis	5924245.0
s__Paenibacillus amylolyticus	7042795.0
s__Paenibacillus polymyxa	5657158.0
g__Paenibacillus_A	5416578.25
s__Paenibacillus_A rubinfantis	5370356.0
s__Paenibacillus_A phocaensis	5515107.0
s__Paenibacillus_A senegalimassiliensis	5059704.0
g__Paenibacillus_Y	5846629.0
s__Paenibacillus_Y sp900069005	5846629.0
g__Paenibacillus_P	5584690.0
s__Paenibacillus_P antibioticophila	5584690.0
g__Paenibacillus_Q	5924107.0
s__Paenibacillus_Q ihumii	5924107.0
g__Paenibacillus_U	5668632.0
s__Paenibacillus_U tuaregi	5668632.0
g__Paenibacillus_B	6481611.0
s__Paenibacillus_B thiaminolyticus	6537383.0
s__Paenibacillus_B sp900539405	6425839.0
g__Cohnella	6327271.0
s__Cohnella sp900169535	6327271.0
g__Paenibacillus_F	6362995.0
s__Paenibacillus_F sp000411255	6362995.0
g__Gorillibacterium	5263775.0
s__Gorillibacterium timonense	5263775.0
g__Paenibacillus_L	5614755.0
s__Paenibacillus_L senegalensis	5614755.0
o__Thermoactinomycetales	3588468.5
f__Thermoactinomycetaceae	3421198.0
g__Risungbinella	3421198.0
s__Risungbinella massiliensis	3421198.0
f__Novibacillaceae	3755739.0
g__Numidum	3755739.0
s__Numidum massiliense	3755739.0
p__Fusobacteriota	2189591.6279069767
c__Fusobacteriia	2189591.6279069767
o__Fusobacteriales	2189591.6279069767
f__Fusobacteriaceae	2285720.0263157897
g__Fusobacterium	2248102.1
s__Fusobacterium polymorphum	2631404.0
s__Fusobacterium nucleatum	2284954.0
s__Fusobacterium vincentii	2268272.0
s__Fusobacterium animalis	2190494.0
t__HRGM_Genome_0392	2514029.0
t__HRGM_Genome_0395	1866959.0
s__Fusobacterium nucleatum_E	2081813.0
s__Fusobacterium periodonticum_D	2546312.0
s__Fusobacterium periodonticum_B	2479455.0
s__Fusobacterium sp000235465	1998653.0
s__Fusobacterium massiliense	1809170.0
g__Fusobacterium_C	2012562.5
s__Fusobacterium_C gonidiaformans	1930430.0
s__Fusobacterium_C necrophorum	2094695.0
g__Fusobacterium_A	2522864.6153846155
s__Fusobacterium_A ulcerans	3487504.0
s__Fusobacterium_A ulcerans_A	3341402.0
s__Fusobacterium_A varium_A	3309801.0
s__Fusobacterium_A varium	2843554.5
t__HRGM_Genome_1312	3346458.0
t__HRGM_Genome_1314	2340651.0
s__Fusobacterium_A sp900543175	2294801.0
